ID,Name,Age,Gender,Address,City,State,Phone,Aadhaar,Crime_History,Image_File,Industry
ID1000,Amitabh Bachchan,,Male,,"Allahabad, Uttar Pradesh, India.",,,,,amitabh_bachchan.jpg,
ID1001,Shah Rukh Khan,,Male,,"New Delhi, Delhi, India",,,,,shah_rukh_khan.jpg,
ID1002,Salman Khan,,Male,,"Indore, Madhya Pradesh, India",,,,,salman_khan.jpg,
ID1003,Aamir Khan,,Male,,"Mumbai, Maharashtra, India",,,,,aamir_khan.jpg,
ID1004,Hrithik Roshan,,Male,,"Mumbai, Maharashtra, India",,,,,hrithik_roshan.jpg,
ID1005,Ranveer Singh,,Male,,"Mumbai, Maharashtra, India",,,,,ranveer_singh.jpg,
ID1006,Deepika Padukone,,Female,,"Copenhagen, Denmark",,,,,deepika_padukone.jpg,
ID1007,Priyanka Chopra Jonas,,Female,,"Jamshedpur, Jharkand, India",,,,,priyanka_chopra.jpg,
ID1008,Alia Bhatt,,Female,,"Mumbai, Maharashtra, India",,,,,alia_bhatt.jpg,
ID1009,Prabhas,,Male,,"Chennai, Tamil Nadu, India",,,,,prabhas.jpg,
ID1010,Allu Arjun,,Male,,"Chennai, Tamil Nadu, India",,,,,allu_arjun.jpg,
ID1011,Mahesh Babu,,Male,,"Chennai, Tamil Nadu, India",,,,,mahesh_babu.jpg,
ID1012,N.T. Rama Rao Jr.,,Male,,"Hyderabad, Andhra Pradesh, India",,,,,jr_ntr.jpg,
ID1013,Samantha Ruth Prabhu,,Female,,"Chennai, Tamil Nadu, India",,,,,samantha_ruth_prabhu.jpg,
ID1014,Rashmika Mandanna,,Female,,"Virajpet, Karnataka, India",,,,,rashmika_mandanna.jpg,
ID1015,Nana Patekar,,Male,,"Murud-Janjira, Maharashtra, India",,,,,nana_patekar.jpg,
ID1016,Sachin Pilgaonkar,,Male,,"Mumbai, India",,,,,sachin_pilgaonkar.jpg,
ID1017,Ankush Chaudhari,,Male,,"Mumbai, Maharashtra, India",,,,,ankush_chaudhari.jpg,
ID1018,Sai Tamhankar,,Female,,"Sangli, Maharashtra, India",,,,,sai_tamhankar.jpg,
ID1019,Priya Bapat,,Female,,"Mumbai, Maharashtra",,,,,priya_bapat.jpg,
ID1020,Tom Cruise,,Male,,"Syracuse, New York, USA",,,,,tom_cruise.jpg,
ID1021,Leonardo DiCaprio,,Male,,"Los Angeles, California, USA",,,,,leonardo_dicaprio.jpg,
ID1022,Scarlett Johansson,,Female,,"New York City, New York, USA",,,,,scarlett_johansson.jpg,
ID1023,Dwayne Johnson,,Male,,"Hayward, California, USA",,,,,dwayne_johnson.jpg,
ID1024,Robert Downey Jr.,,Male,,"New York City, New York, USA",,,,,robert_downey_jr.jpg,
ID1025,Ranbir Kapoor,,Male,N/A,India,N/A,N/A,N/A,None,ranbir_kapoor.jpg,Hollywood
ID1026,Akshay Kumar,,Male,N/A,India,N/A,N/A,N/A,None,akshay_kumar.jpg,Hollywood
ID1027,Ajay Devgn,,Male,N/A,India,N/A,N/A,N/A,None,ajay_devgn.jpg,Hollywood
ID1028,Shahid Kapoor,,Male,N/A,India,N/A,N/A,N/A,None,shahid_kapoor.jpg,Hollywood
ID1029,Varun Dhawan,,Male,N/A,India,N/A,N/A,N/A,None,varun_dhawan.jpg,Hollywood
ID1030,Tiger Shroff,,Male,N/A,India,N/A,N/A,N/A,None,tiger_shroff.jpg,Hollywood
ID1031,Anil Kapoor,,Male,N/A,India,N/A,N/A,N/A,None,anil_kapoor.jpg,Hollywood
ID1032,Sunny Deol,,Male,N/A,India,N/A,N/A,N/A,None,sunny_deol.jpg,Hollywood
ID1033,Bobby Deol,,Male,N/A,India,N/A,N/A,N/A,None,bobby_deol.jpg,Hollywood
ID1034,Sanjay Dutt,,Male,N/A,India,N/A,N/A,N/A,None,sanjay_dutt.jpg,Hollywood
ID1035,Irrfan Khan,,Male,N/A,India,N/A,N/A,N/A,None,irrfan_khan.jpg,Hollywood
ID1036,Nawazuddin Siddiqui,,Male,N/A,India,N/A,N/A,N/A,None,nawazuddin_siddiqui.jpg,Hollywood
ID1037,Rajkummar Rao,,Male,N/A,India,N/A,N/A,N/A,None,rajkummar_rao.jpg,Hollywood
ID1038,Ayushmann Khurrana,,Male,N/A,India,N/A,N/A,N/A,None,ayushmann_khurrana.jpg,Hollywood
ID1039,Vicky Kaushal,,Male,N/A,India,N/A,N/A,N/A,None,vicky_kaushal.jpg,Hollywood
ID1040,Kartik Aaryan,,Male,N/A,India,N/A,N/A,N/A,None,kartik_aaryan.jpg,Hollywood
ID1041,Sidharth Malhotra,,Male,N/A,India,N/A,N/A,N/A,None,sidharth_malhotra.jpg,Hollywood
ID1042,John Abraham,,Male,N/A,India,N/A,N/A,N/A,None,john_abraham.jpg,Hollywood
ID1043,Emraan Hashmi,,Male,N/A,India,N/A,N/A,N/A,None,emraan_hashmi.jpg,Hollywood
ID1044,Arjun Kapoor,,Male,N/A,India,N/A,N/A,N/A,None,arjun_kapoor.jpg,Hollywood
